orbital_period,transit_epoch,transit_duration,transit_depth,planet_radius,disposition,dataset
6.491682808,174.633553,4.301,7163.3,9.66,0,KOI
3.855603916,170.6787843,3.2179,16653.0,13.61,0,KOI
38.47876629,151.852812,5.04169,23530.0,13.26,0,KOI
3.314947362,171.313058,1.8007,1398.2,3.94,0,KOI
39.6431552,206.596798,6.5292,15664.0,10.98,0,KOI
21.80451611,190.49737,3.4097,1144.9,2.6,0,KOI
10.28194593,175.33988,3.4366,1110.7,2.53,0,KOI
18.11993039,182.61535,4.2309,1506.9,2.95,0,KOI
3.78402867,133.28133,1.9012,426.1,1.7,0,KOI
5.15448142,171.6389,3.228,697.5,2.94,0,KOI
5.743469797,174.898924,3.4412,1240.2,3.13,0,KOI
39.4759093,173.31207,2.968,1012.6,4.06,1,KOI
3.166353562,170.966145,3.3129,1473.4,3.82,0,KOI
3.388012244,170.5336,2.6849,280.1,2.11,0,KOI
5.83909761,132.09261,3.1915,273.6,2.06,0,KOI
1.620467654,132.06388,2.1888,159.6,1.57,0,KOI
10.6816951,131.55082,3.605,307.8,2.3,0,KOI
6.104849417,169.573477,4.6912,2090.3,3.18,0,KOI
3.578780566,134.0304187,2.91089,11382.0,10.43,0,KOI
5.826657508,173.011411,2.9183,1539.1,4.09,0,KOI
12.41216347,142.54039,3.739,611.3,2.58,0,KOI
18.74649011,147.13074,3.895,796.8,3.05,0,KOI
20.86021229,180.017757,5.1937,1910.5,5.5,0,KOI
42.63427848,141.16954,6.1998,1719.3,5.22,0,KOI
87.6476068,134.94222,8.871,1009.6,4.0,0,KOI
9.61731426,142.47479,3.8692,234.0,1.94,1,KOI
9.467821474,178.415842,2.4327,2237.0,2.13,0,KOI
0.893040969,134.540342,1.0981,741.7,1.24,0,KOI
4.942783419,136.3294353,3.25346,11145.0,10.62,0,KOI
20.83426731,176.58569,4.0454,988.4,2.74,0,KOI
9.94602357,171.70192,3.3862,994.5,3.12,0,KOI
1.04562195,133.91912,1.8955,213.0,1.45,0,KOI
5.71462396,132.63866,2.336,297.8,1.78,0,KOI
8.14515981,140.56811,5.073,446.8,3.43,0,KOI
18.9985279,144.74157,4.529,430.7,43.17,0,KOI
4.24439049,137.06643,3.282,174.0,2.07,0,KOI
90.1240507,356.23415,11.649,3020.3,7.12,1,KOI
28.5742692,143.8315,4.9427,824.9,2.32,0,KOI
856.672115,228.44988,23.144,858.1,3.87,1,KOI
0.689210173,133.28584,1.6169,195.0,1.32,1,KOI
7.34373964,137.29874,1.1784,574.4,1.84,0,KOI
3.9886021,171.01852,1.7376,673.5,34.39,1,KOI
0.533059312,171.2274419,1.8621,1495.8,133.56,1,KOI
224.7789355,142.095338,11.1899,3487.5,7.67,0,KOI
7.42608123,139.90039,3.6379,443.3,2.47,0,KOI
15.9868932,137.5964,4.158,178.5,1.62,0,KOI
18.92537246,149.49558,3.9835,640.9,13.92,0,KOI
129995.7784,393.59962,9.408,1474.9,2.99,1,KOI
31.5925809,142.9649,13.566,145.1,1.78,0,KOI
17.157236,133.68951,11.284,110.4,1.55,0,KOI
1.97376085,178.6894194,1.82542,30222.0,8.78,0,KOI
13.118962443,261.539434,4.3045,372.2,8.25,1,KOI
