orbital_period,transit_duration,transit_depth,planet_radius,radius_ratio,stellar_teff,stellar_radius,stellar_mass,insolation_flux,teq,label,mission
10.328035714,7.7915,16918.0,13.28,0.118805,5627.0,1.024,0.874,119.31,843.0,FALSE POSITIVE,Kepler
143.2063047,8.9302,10566.0,8.9,0.094044,5485.0,0.867,0.986,2.14,308.0,CONFIRMED,Kepler
6.164876,3.262,55.8,0.79,0.007192,5854.0,1.012,0.951,256.35,1021.0,CONFIRMED,Kepler
60.32494216,6.6188,20280.0,12.19,0.128744,5485.0,0.867,0.986,6.77,411.0,CONFIRMED,Kepler
29.1598615,4.803,488.0,1.91,0.02018,5485.0,0.867,0.986,17.85,524.0,CONFIRMED,Kepler
1.540397253,2.1541,816.1,25.69,0.257087,5663.0,0.915,1.034,1105.68,1470.0,FALSE POSITIVE,Kepler
2.99025443,5.414,589.2,1.7,0.021279,4667.0,0.731,0.737,168.45,918.0,FALSE POSITIVE,Kepler
1.594745374,1.9604,15044.0,11.3,0.115879,5934.0,0.893,0.901,1329.42,1539.0,CONFIRMED,Kepler
4.783002698,2.335,1008.7,2.5,0.028315,5170.0,0.807,0.891,145.48,886.0,CONFIRMED,Kepler
20.50588921,4.0595,2105.5,3.41,0.041039,4905.0,0.761,0.739,17.06,518.0,CONFIRMED,Kepler
3.340218842,1.9104,1632.6,2.03,0.037683,3950.0,0.493,0.502,43.73,656.0,CONFIRMED,Kepler
2.507089906,2.0067,1339.2,30.26,0.295115,5926.0,0.939,1.03,730.47,1326.0,FALSE POSITIVE,Kepler
18.64932728,4.4056,893.6,3.12,0.027096,5775.0,1.053,1.026,57.13,701.0,CONFIRMED,Kepler
4.90144976,4.1654,140.7,1.7,0.011136,5847.0,1.402,1.113,598.74,1262.0,CONFIRMED,Kepler
9.75192101,4.793,418.0,2.76,0.024042,5775.0,1.053,1.026,135.66,870.0,CONFIRMED,Kepler
38.5576546,5.794,993.0,4.02,0.03498,5775.0,1.053,1.026,21.71,550.0,CONFIRMED,Kepler
3.525632539,2.59959,22335.0,11.58,0.13372,5150.0,0.793,0.855,213.12,975.0,CONFIRMED,Kepler
34.84398644,2.9315,4523.6,7.61,0.080046,5509.0,0.871,0.84,16.1,511.0,CANDIDATE,Kepler
7.748094239,3.5957,2472.1,5.52,0.046615,5973.0,1.085,1.181,204.39,964.0,CONFIRMED,Kepler
23.96793669,3.827,1182.3,1.8,0.03141,3747.0,0.524,0.536,2.77,329.0,CONFIRMED,Kepler
8.29561738,1.3421,824.3,1.82,0.03178,3747.0,0.524,0.536,11.39,469.0,CONFIRMED,Kepler
8.11437482,2.2736,1558.0,2.1,0.037204,3692.0,0.517,0.553,10.55,460.0,CONFIRMED,Kepler
38.036729482,4.34617,82872.0,27.5,0.27018,5575.0,0.932,1.051,14.81,500.0,FALSE POSITIVE,Kepler
